id;name;shortcut;cgst;sgst;hsn
1;monitor 1080p Checking Account;world-class Frozen IB;62329;44945;Ergonomic
2;moratorium moratorium;New York tangible Mississippi;38292;11959;bus synthesize Idaho
3;Networked Sleek Metal Table Small;Intelligent Outdoors;63641;47537;Montana
4;Corporate Phased relationships;white Brand Money Market Account;69478;16122;Web virtual deposit
5;Squares mint green e-business;Ghana back-end National;31800;90682;contextually-based
6;synergies copying;ability Hat Iraq;48482;22210;Concrete 24/7 Directives
7;sky blue;Kenyan Shilling robust;97178;25391;Exclusive Moroccan Dirham card
8;zero tolerance;mission-critical;97661;50267;Small Plastic Pants Investor
9;Canadian Dollar;Berkshire Designer;24205;59269;Handmade 24/7 Re-contextualized
10;web-enabled invoice withdrawal;bypassing optical;15071;32078;magenta Refined Rubber Gloves
