id;weight;mrp;distributor_price;distributor_margin;lot_count;available;shortcut
1;67756;22024;1658;71114;51209;80950;turn-key
2;9617;17436;94052;69093;39757;38673;Creative Metal
3;34106;73521;11347;20907;92469;54144;Fiji Dollar Profound Bacon
4;98216;55520;51663;52965;26082;24185;Tasty Customer Human
5;63310;18870;33902;27887;34920;70035;programming SCSI drive
6;88777;64203;85092;8413;93563;16162;Dynamic Home Loan Account Tools
7;10147;94013;66350;97366;506;28392;knowledge user
8;48561;69189;44842;65196;99445;22426;driver
9;23724;49389;32539;17882;74649;36646;program alarm
10;30806;56830;54254;9367;50881;36771;dedicated Persevering
